기준일,시장구분,시가,고가,저가,종가,수정주가,거래량,거래대금,시가총액,외국인시가총액,PER,FPER,PBR,DY,created_at,updated_at,신용잔고,예탁금
1996-11-07,KOSDAQ,1280.7,1280.7,1280.7,1280.7,,126230,,,,,,,,,,,
1996-11-07,KOSPI,748.68,752.2,738.26,741.76,,37676300,,,,,,,,,,,
1996-11-08,KOSDAQ,1286.5,1286.5,1286.5,1286.5,,149813,,,,,,,,,,,
1996-11-08,KOSPI,740.82,756.07,739.11,739.11,,26001700,,,,,,,,,,,
1996-11-09,KOSDAQ,1281.6,1281.6,1281.6,1281.6,,51765,,,,,,,,,,,
1996-11-09,KOSPI,738,745.59,729.41,730.82,,17132100,,,,,,,,,,,
1996-11-11,KOSDAQ,1279.3,1279.3,1279.3,1279.3,,141015,,,,,,,,,,,
1996-11-11,KOSPI,730.42,730.42,720.01,729.53,,21804800,,,,,,,,,,,
1996-11-12,KOSDAQ,1277.7,1277.7,1277.7,1277.7,,96993,,,,,,,,,,,
1996-11-12,KOSPI,729.52,752.65,729.52,752.54,,28086400,,,,,,,,,,,
1996-11-13,KOSDAQ,1273.7,1273.7,1273.7,1273.7,,116180,,,,,,,,,,,
1996-11-13,KOSPI,753.05,757.72,743.71,747.32,,23193700,,,,,,,,,,,
1996-11-14,KOSDAQ,1266.5,1266.5,1266.5,1266.5,,48198,,,,,,,,,,,
1996-11-14,KOSPI,746.53,749.49,743.02,743.03,,21133400,,,,,,,,,,,
1996-11-15,KOSDAQ,1266.9,1266.9,1266.9,1266.9,,93386,,,,,,,,,,,
1996-11-15,KOSPI,742.44,752.03,741.64,750.29,,22969200,,,,,,,,,,,
1996-11-16,KOSDAQ,1268.2,1268.2,1268.2,1268.2,,60726,,,,,,,,,,,
1996-11-16,KOSPI,750.99,757.33,750.99,756.67,,16701700,,,,,,,,,,,
1996-11-18,KOSDAQ,1270.3,1270.3,1270.3,1270.3,,160608,,,,,,,,,,,
1996-11-18,KOSPI,755.88,759.08,746.97,750.82,,22476500,,,,,,,,,,,
1996-11-19,KOSDAQ,1277.7,1277.7,1277.7,1277.7,,40703,,,,,,,,,,,
1996-11-19,KOSPI,750.25,754.71,747.04,747.05,,19125800,,,,,,,,,,,
1996-11-20,KOSDAQ,1277.8,1277.8,1277.8,1277.8,,158625,,,,,,,,,,,
1996-11-20,KOSPI,746.74,750.18,742.1,744.14,,25141200,,,,,,,,,,,
1996-11-21,KOSDAQ,1279.3,1279.3,1279.3,1279.3,,70751,,,,,,,,,,,
1996-11-21,KOSPI,743.65,750,743.36,744.91,,23891200,,,,,,,,,,,
1996-11-22,KOSDAQ,1283.5,1283.5,1283.5,1283.5,,174798,,,,,,,,,,,
1996-11-22,KOSPI,744.51,744.51,730.1,731.44,,24225300,,,,,,,,,,,
1996-11-25,KOSDAQ,1268.6,1268.6,1268.6,1268.6,,189980,,,,,,,,,,,
1996-11-25,KOSPI,728.4,729.16,716.45,716.45,,15186200,,,,,,,,,,,
1996-11-26,KOSDAQ,1252.5,1252.5,1252.5,1252.5,,127851,,,,,,,,,,,
1996-11-26,KOSPI,711.4,721.37,710.49,715.97,,16838000,,,,,,,,,,,
1996-11-27,KOSDAQ,1235.2,1235.2,1235.2,1235.2,,368677,,,,,,,,,,,
1996-11-27,KOSPI,716.51,727.75,716.51,722.62,,19892500,,,,,,,,,,,
1996-11-28,KOSDAQ,1252.7,1252.7,1252.7,1252.7,,121014,,,,,,,,,,,
1996-11-28,KOSPI,723.97,736.97,723.97,736.92,,24946200,,,,,,,,,,,
1996-11-29,KOSDAQ,1265.9,1265.9,1265.9,1265.9,,177357,,,,,,,,,,,
1996-11-29,KOSPI,737.71,738.89,732.25,733.5,,22828100,,,,,,,,,,,
1996-11-30,KOSDAQ,1272.7,1272.7,1272.7,1272.7,,151288,,,,,,,,,,,
1996-11-30,KOSPI,732.03,733.36,726.25,726.48,,14146000,,,,,,,,,,,
